iter	Passed	Remaining
0	208	90501
1	292	63420
2	368	53006
3	437	47100
4	503	43301
5	570	40764
6	639	39093
7	704	37620
8	770	36461
9	836	35535
10	902	34789
11	970	34217
12	1036	33633
13	1101	33133
14	1164	32618
15	1229	32197
16	1295	31865
17	1362	31571
18	1436	31449
19	1507	31277
20	1572	30996
21	1636	30719
22	1700	30463
23	1764	30211
24	1828	29982
25	1892	29768
26	1957	29579
27	2023	29412
28	2087	29224
29	2151	29049
30	2215	28879
31	2280	28725
32	2344	28554
33	2409	28419
34	2474	28285
35	2540	28158
36	2615	28130
37	2681	28019
38	2747	27895
39	2817	27823
40	2888	27754
41	2955	27656
42	3024	27571
43	3094	27502
44	3165	27431
45	3229	27306
46	3298	27231
47	3367	27150
48	3438	27090
49	3505	26992
50	3571	26887
51	3641	26817
52	3720	26814
53	3796	26786
54	3866	26710
55	3934	26624
56	4004	26554
57	4077	26503
58	4142	26401
59	4206	26291
60	4272	26194
61	4341	26120
62	4414	26063
63	4481	25981
64	4546	25882
65	4611	25783
66	4677	25692
67	4750	25636
68	4826	25600
69	4901	25555
70	4967	25467
71	5032	25369
72	5097	25278
73	5167	25208
74	5239	25151
75	5308	25075
76	5372	24979
77	5441	24903
78	5514	24850
79	5579	24760
80	5650	24693
81	5720	24626
82	5789	24552
83	5858	24480
84	5930	24419
85	6010	24393
86	6083	24333
87	6150	24250
88	6221	24187
89	6293	24126
90	6360	24043
91	6428	23967
92	6497	23894
93	6569	23833
94	6640	23766
95	6708	23689
96	6775	23608
97	6846	23544
98	6920	23486
99	6990	23416
100	7055	23332
101	7127	23269
102	7208	23233
103	7279	23168
104	7349	23097
105	7418	23025
106	7486	22948
107	7551	22863
108	7623	22801
109	7704	22763
110	7768	22676
111	7833	22590
112	7906	22530
113	7972	22449
114	8039	22370
115	8105	22291
116	8173	22215
117	8247	22155
118	8320	22094
119	8388	22020
120	8452	21935
121	8518	21854
122	8584	21775
123	8649	21693
124	8722	21632
125	8788	21553
126	8856	21477
127	8923	21401
128	8990	21327
129	9058	21252
130	9122	21170
131	9191	21098
132	9257	21020
133	9322	20940
134	9392	20872
135	9464	20808
136	9532	20734
137	9599	20659
138	9664	20581
139	9745	20535
140	9812	20461
141	9879	20386
142	9948	20315
143	10015	20238
144	10081	20162
145	10146	20085
146	10212	20007
147	10281	19937
148	10352	19871
149	10420	19798
150	10487	19724
151	10557	19656
152	10632	19596
153	10697	19518
154	10762	19441
155	10831	19370
156	10892	19288
157	10957	19209
158	11020	19130
159	11084	19051
160	11151	18977
161	11218	18905
162	11286	18834
163	11352	18758
164	11418	18685
165	11485	18611
166	11551	18538
167	11619	18467
168	11688	18397
169	11762	18335
170	11831	18265
171	11905	18204
172	11971	18130
173	12038	18057
174	12102	17981
175	12170	17910
176	12235	17834
177	12302	17763
178	12369	17689
179	12438	17621
180	12503	17546
181	12570	17474
182	12638	17404
183	12703	17328
184	12768	17254
185	12842	17192
186	12917	17130
187	12982	17057
188	13048	16983
189	13115	16911
190	13180	16837
191	13246	16765
192	13311	16690
193	13377	16618
194	13445	16548
195	13513	16478
196	13579	16405
197	13646	16333
198	13711	16260
199	13776	16187
200	13842	16114
201	13910	16045
202	13986	15984
203	14059	15920
204	14126	15849
205	14195	15780
206	14263	15710
207	14326	15634
208	14393	15564
209	14455	15487
210	14523	15418
211	14589	15346
212	14658	15277
213	14720	15201
214	14785	15129
215	14852	15058
216	14918	14987
217	14983	14914
218	15049	14843
219	15121	14777
220	15190	14709
221	15259	14640
222	15321	14565
223	15388	14495
224	15454	14423
225	15521	14353
226	15588	14284
227	15654	14212
228	15719	14140
229	15787	14071
230	15853	14000
231	15919	13929
232	15988	13861
233	16056	13792
234	16122	13721
235	16192	13653
236	16264	13588
237	16334	13520
238	16403	13451
239	16468	13380
240	16532	13308
241	16599	13238
242	16666	13168
243	16731	13096
244	16797	13026
245	16862	12955
246	16925	12882
247	16988	12809
248	17057	12741
249	17123	12671
250	17186	12599
251	17252	12528
252	17320	12459
253	17393	12394
254	17465	12328
255	17531	12258
256	17594	12185
257	17661	12116
258	17728	12046
259	17794	11976
260	17861	11907
261	17935	11842
262	18000	11772
263	18067	11702
264	18130	11630
265	18196	11561
266	18264	11492
267	18328	11421
268	18397	11353
269	18468	11286
270	18540	11220
271	18614	11154
272	18679	11084
273	18746	11015
274	18814	10946
275	18880	10876
276	18949	10808
277	19013	10738
278	19082	10669
279	19146	10598
280	19210	10528
281	19275	10457
282	19341	10388
283	19406	10318
284	19473	10249
285	19541	10180
286	19610	10112
287	19684	10047
288	19755	9980
289	19822	9911
290	19888	9841
291	19954	9772
292	20020	9702
293	20085	9633
294	20153	9564
295	20219	9494
296	20285	9425
297	20351	9356
298	20414	9285
299	20481	9216
300	20547	9147
301	20615	9078
302	20682	9010
303	20748	8941
304	20824	8875
305	20893	8808
306	20958	8738
307	21027	8670
308	21088	8599
309	21157	8531
310	21223	8462
311	21290	8393
312	21361	8326
313	21425	8256
314	21490	8187
315	21557	8118
316	21627	8050
317	21701	7984
318	21768	7915
319	21834	7846
320	21903	7778
321	21973	7711
322	22038	7641
323	22103	7572
324	22165	7502
325	22232	7433
326	22297	7364
327	22364	7295
328	22430	7226
329	22499	7158
330	22563	7089
331	22628	7020
332	22695	6951
333	22761	6882
334	22828	6814
335	22893	6745
336	22960	6677
337	23031	6609
338	23105	6543
339	23173	6474
340	23237	6405
341	23302	6336
342	23366	6267
343	23433	6199
344	23501	6130
345	23568	6062
346	23634	5993
347	23699	5924
348	23766	5856
349	23833	5788
350	23902	5720
351	23967	5651
352	24030	5582
353	24096	5513
354	24165	5445
355	24240	5379
356	24307	5310
357	24372	5242
358	24436	5173
359	24504	5105
360	24572	5037
361	24641	4969
362	24705	4900
363	24769	4831
364	24837	4763
365	24906	4695
366	24971	4626
367	25038	4558
368	25104	4490
369	25170	4421
370	25234	4353
371	25304	4285
372	25379	4218
373	25447	4150
374	25515	4082
375	25583	4014
376	25649	3946
377	25718	3878
378	25781	3809
379	25846	3740
380	25913	3672
381	25980	3604
382	26047	3536
383	26115	3468
384	26182	3400
385	26249	3332
386	26315	3263
387	26380	3195
388	26454	3128
389	26525	3060
390	26596	2992
391	26664	2924
392	26731	2856
393	26796	2788
394	26854	2719
395	26923	2651
396	26989	2583
397	27056	2515
398	27121	2447
399	27188	2378
400	27255	2310
401	27322	2242
402	27388	2174
403	27459	2107
404	27530	2039
405	27603	1971
406	27688	1904
407	27757	1836
408	27822	1768
409	27889	1700
410	27955	1632
411	28020	1564
412	28083	1495
413	28152	1428
414	28219	1359
415	28285	1291
416	28350	1223
417	28416	1155
418	28485	1087
419	28550	1019
420	28615	951
421	28681	883
422	28752	815
423	28824	747
424	28890	679
425	28956	611
426	29022	543
427	29086	475
428	29153	407
429	29217	339
430	29279	271
431	29343	203
432	29407	135
433	29469	67
434	29537	0
